	header_cols	label_width	className	XMin	YMin	XMax	YMax	ImagePath
29	2	5	0.000	0.0331	0.5300	0.1225	0.7298	001.Plastic_bag/images/train/d01921dfb646f0eb.jpg
30	2	5	0.000	0.0176	0.0000	0.9990	0.9985	001.Plastic_bag/images/train/00075e339f3d4f37.jpg
31	2	5	0.000	0.2825	0.0117	0.6425	0.9442	001.Plastic_bag/images/train/05151ecc4b11216b.jpg
32	2	5	0.000	0.6562	0.2350	0.9994	0.8992	001.Plastic_bag/images/train/429856872e5f36d6.jpg
33	2	5	0.000	0.2239	0.0882	0.6095	0.3758	001.Plastic_bag/images/train/5f3b28e45eb80604.jpg
34	2	5	0.000	0.1375	0.1187	0.2281	0.2396	001.Plastic_bag/images/train/5c3a12529a5afe93.jpg
35	2	5	0.000	0.2956	0.2200	0.4037	0.2908	001.Plastic_bag/images/train/102e5834dbf0b1cc.jpg
36	2	5	0.000	0.0000	0.0000	0.9994	0.9991	001.Plastic_bag/images/train/e0c7175ff44cbecc.jpg
37	2	5	0.000	0.4813	0.8831	0.5819	0.9989	001.Plastic_bag/images/train/002c60d5fbc94244.jpg
38	2	5	0.000	0.1163	0.4108	0.2612	0.5242	001.Plastic_bag/images/train/01381a0300454d75.jpg
39	2	5	0.000	0.2175	0.1084	0.6556	0.8131	001.Plastic_bag/images/train/2dadd7ecece6ffd0.jpg
40	2	5	0.000	0.7708	0.0413	0.9658	0.3387	001.Plastic_bag/images/train/d23dbce3e186b9f2.jpg
41	2	5	0.000	0.6975	0.3720	0.9994	0.8565	001.Plastic_bag/images/train/c469e45b88848183.jpg
42	2	5	0.000	0.0575	0.1050	0.7812	0.8483	001.Plastic_bag/images/train/57ae1352148a1218.jpg
43	2	5	0.000	0.0549	0.5957	0.6301	0.9978	001.Plastic_bag/images/train/04c620141ea4ca83.jpg
44	2	5	0.000	0.0000	0.4000	0.0719	0.5617	001.Plastic_bag/images/train/84f956ec753d7794.jpg
45	2	5	0.000	0.7369	0.0094	0.8087	0.1388	001.Plastic_bag/images/train/0fab4e71052b9548.jpg
46	2	5	0.000	0.2217	0.0750	0.8583	0.9988	001.Plastic_bag/images/train/6a61a43762d3f7b3.jpg
47	2	5	0.000	0.4681	0.3308	0.5300	0.3808	001.Plastic_bag/images/train/8ccc73fd3d04a899.jpg
48	2	5	0.000	0.5044	0.5378	0.9244	0.8046	001.Plastic_bag/images/train/f02d82bee1f6f2c5.jpg
49	2	5	0.000	0.4632	0.4083	0.6875	0.7630	001.Plastic_bag/images/train/71174b0591896181.jpg
50	2	5	0.000	0.5019	0.4325	1.0000	1.0000	001.Plastic_bag/images/train/382aae65c5204975.jpg
51	2	5	0.000	0.3350	0.1608	0.6231	0.9992	001.Plastic_bag/images/train/d095ee0f92c6c0f7.jpg
52	2	5	0.000	0.0000	0.0000	0.9990	0.9987	001.Plastic_bag/images/train/008e55e8866c3a92.jpg
53	2	5	0.000	0.0144	0.0108	0.9800	0.9900	001.Plastic_bag/images/train/02d5b69a78b47942.jpg
54	2	5	0.000	0.4396	0.5586	0.6348	0.8398	001.Plastic_bag/images/train/002e531370b773ea.jpg
55	2	5	0.000	0.6572	0.0495	0.8516	0.6016	001.Plastic_bag/images/train/e39390cebf26f22c.jpg
56	2	5	0.000	0.4656	0.0000	0.7644	0.4067	001.Plastic_bag/images/train/bb76de563bbb4900.jpg
57	2	5	0.000	0.3408	0.7119	0.7208	0.9475	001.Plastic_bag/images/train/8c1171403b2ebdd1.jpg
58	2	5	0.000	0.8656	0.8042	0.9984	0.9354	001.Plastic_bag/images/train/407143f172757997.jpg
59	2	5	0.000	0.6737	0.0575	0.7475	0.1092	001.Plastic_bag/images/train/b5c748c03f11ec44.jpg
60	2	5	0.000	0.0000	0.3371	0.9994	0.8535	001.Plastic_bag/images/train/0603f22006991971.jpg
61	2	5	0.000	0.0138	0.0683	0.4788	0.7917	001.Plastic_bag/images/train/39cd067a08ced27a.jpg
62	2	5	0.000	0.1737	0.1050	0.9962	0.8267	001.Plastic_bag/images/train/1df171bdb99a62b4.jpg
63	2	5	0.000	0.4706	0.3700	0.5200	0.4658	001.Plastic_bag/images/train/a3166a9f12e7426c.jpg
64	2	5	0.000	0.8987	0.0260	0.9840	0.0600	001.Plastic_bag/images/train/ecb16eefdc523ea0.jpg
65	2	5	0.000	0.2094	0.0788	0.2938	0.1848	001.Plastic_bag/images/train/0fab4e71052b9548.jpg
66	2	5	0.000	0.7194	0.5579	0.9613	0.8010	001.Plastic_bag/images/train/8457ea3663b29db0.jpg
67	2	5	0.000	0.7338	0.6608	0.8406	0.8450	001.Plastic_bag/images/train/02c05018da2870de.jpg
68	2	5	0.000	0.5981	0.6454	0.6906	0.8011	001.Plastic_bag/images/train/f3d451880d1da929.jpg
69	2	5	0.000	0.3068	0.3156	0.5469	0.6231	001.Plastic_bag/images/train/5e71ef3a9448f5ef.jpg
70	2	5	0.000	0.0112	0.2889	0.4056	0.9991	001.Plastic_bag/images/train/888fea91e5a0e984.jpg
71	2	5	0.000	0.7037	0.3475	0.8600	0.6025	001.Plastic_bag/images/train/199f317874bb9af6.jpg
72	2	5	0.000	0.0950	0.0281	0.8988	0.9925	001.Plastic_bag/images/train/23ee1140a71575e1.jpg
73	2	5	0.000	0.6138	0.2033	0.8281	0.5092	001.Plastic_bag/images/train/102e5834dbf0b1cc.jpg
74	2	5	0.000	0.0000	0.3925	0.9979	0.9988	001.Plastic_bag/images/train/a3a613df8f27e51d.jpg
75	2	5	0.000	0.8700	0.1550	0.9992	0.6475	001.Plastic_bag/images/train/d23dbce3e186b9f2.jpg
76	2	5	0.000	0.5242	0.7375	0.7083	0.9900	001.Plastic_bag/images/train/a89b2caff50e8f86.jpg
77	2	5	0.000	0.6832	0.4138	0.8954	0.7931	001.Plastic_bag/images/train/13ce78af461f9ec8.jpg
78	2	5	0.000	0.8398	0.6098	0.9992	0.7103	001.Plastic_bag/images/train/d0090a800d3e3832.jpg
79	2	5	0.000	0.5456	0.2108	0.8194	0.8533	001.Plastic_bag/images/train/614a6b3531b9f0dc.jpg
80	2	5	0.000	0.0462	0.0281	0.3638	0.9118	001.Plastic_bag/images/train/bd3927e41f463052.jpg
81	2	5	0.000	0.3442	0.3556	0.7083	0.5931	001.Plastic_bag/images/train/60795675a2fa5e92.jpg
82	2	5	0.000	0.6956	0.5098	0.7875	0.7563	001.Plastic_bag/images/train/8e52275c8e62c06e.jpg
83	2	5	0.000	0.8317	0.5956	0.9992	0.9375	001.Plastic_bag/images/train/389f1a00e51d581c.jpg
84	2	5	0.000	0.0000	0.0406	0.6203	0.8516	001.Plastic_bag/images/train/5b03fa01ed10430f.jpg
85	2	5	0.000	0.0000	0.0506	0.9992	0.9988	001.Plastic_bag/images/train/cad51fc16931cba5.jpg
86	2	5	0.000	0.0000	0.2017	0.9656	0.7606	001.Plastic_bag/images/train/3ab65fcf98a9d84e.jpg
87	2	5	0.000	0.6100	0.6882	0.6344	0.7116	001.Plastic_bag/images/train/002c60d5fbc94244.jpg
88	2	5	0.000	0.1512	0.6983	0.3531	0.9720	001.Plastic_bag/images/train/09c07b24d4672ea2.jpg
89	2	5	0.000	0.0000	0.4967	0.0512	0.6483	001.Plastic_bag/images/train/7393fb4299dd9e83.jpg
90	2	5	0.000	0.5060	0.5600	0.6860	0.6747	001.Plastic_bag/images/train/51bae1d112045cfe.jpg
91	2	5	0.000	0.2269	0.3975	0.3231	0.5981	001.Plastic_bag/images/train/a3166a9f12e7426c.jpg
92	2	5	0.000	0.1533	0.3100	0.4200	0.4900	001.Plastic_bag/images/train/44445fdc5a13af88.jpg
93	2	5	0.000	0.0000	0.3602	0.1302	0.4961	001.Plastic_bag/images/train/bb37f78750102ee8.jpg
94	2	5	0.000	0.1263	0.4000	0.4875	0.9975	001.Plastic_bag/images/train/781720a7641916a9.jpg
95	2	5	0.000	0.0000	0.5481	0.0667	0.9991	001.Plastic_bag/images/train/30e366352cba4828.jpg
96	2	5	0.000	0.0000	0.0000	0.5672	0.9344	001.Plastic_bag/images/train/82bd4b9f80e26e93.jpg
97	2	5	0.000	0.4206	0.0000	0.6075	0.1983	001.Plastic_bag/images/train/ec13e4706bfd1558.jpg
98	2	5	0.000	0.0000	0.0000	0.9941	0.9987	001.Plastic_bag/images/train/4bc2674d180abfdc.jpg
99	2	5	0.000	0.0006	0.0017	0.9994	0.9992	001.Plastic_bag/images/train/6ea9f06d2241c46b.jpg
100	2	5	0.000	0.5713	0.5375	0.7788	0.9083	001.Plastic_bag/images/train/c4478b7d57358316.jpg
101	2	5	0.000	0.4292	0.4369	0.9082	0.8225	001.Plastic_bag/images/train/63a55de3263f233b.jpg
102	2	5	0.000	0.0636	0.6967	0.2755	0.8733	001.Plastic_bag/images/train/53740b1e045b603f.jpg
103	2	5	0.000	0.4844	0.2188	0.7945	0.8057	001.Plastic_bag/images/train/ff5bc2ace3cdd410.jpg
104	2	5	0.000	0.0944	0.1800	0.8622	0.8375	001.Plastic_bag/images/train/13f9b0af8323ddb3.jpg
105	2	5	0.000	0.5244	0.2475	0.8756	0.4900	001.Plastic_bag/images/train/b9176db9b1661faa.jpg
106	2	5	0.000	0.6362	0.1526	0.9413	0.9432	001.Plastic_bag/images/train/dcc8e2ea54236b93.jpg
107	2	5	0.000	0.0000	0.4139	0.2369	0.8168	001.Plastic_bag/images/train/1062690a06582845.jpg
108	2	5	0.000	0.2644	0.4333	0.3269	0.5733	001.Plastic_bag/images/train/02c05018da2870de.jpg
109	2	5	0.000	0.1944	0.5455	0.2844	0.7531	001.Plastic_bag/images/train/08a6765baa7c3b1a.jpg
110	2	5	0.000	0.2950	0.3063	0.7458	1.0000	001.Plastic_bag/images/train/2c44e3645f81cc0f.jpg
111	2	5	0.000	0.3350	0.0878	0.4094	0.2206	001.Plastic_bag/images/train/751e84759db9b9ac.jpg
112	2	5	0.000	0.0187	0.3625	0.6869	0.8183	001.Plastic_bag/images/train/7393fb4299dd9e83.jpg
113	2	5	0.000	0.3494	0.3400	0.4437	0.5033	001.Plastic_bag/images/train/32eedcc25c63f627.jpg
114	2	5	0.000	0.0021	0.5750	0.8500	0.9984	001.Plastic_bag/images/train/fb1e897f06ff0e16.jpg
115	2	5	0.000	0.2869	0.1275	0.7569	0.8008	001.Plastic_bag/images/train/c0819cfe21c1c6a4.jpg
116	2	5	0.000	0.2756	0.0000	0.9181	0.8390	001.Plastic_bag/images/train/074f32c03b16f858.jpg
117	2	5	0.000	0.3156	0.3219	0.4703	0.5531	001.Plastic_bag/images/train/750daf547cb0298a.jpg
118	2	5	0.000	0.3519	0.1745	0.5056	0.7401	001.Plastic_bag/images/train/2db9e7848a1f7870.jpg
119	2	5	0.000	0.0650	0.5017	0.1412	0.5433	001.Plastic_bag/images/train/84f956ec753d7794.jpg
120	2	5	0.000	0.5700	0.2560	0.6300	0.3147	001.Plastic_bag/images/train/51bae1d112045cfe.jpg
121	2	5	0.000	0.0000	0.0000	0.9994	0.9989	001.Plastic_bag/images/train/0005a922e055c723.jpg
122	2	5	0.000	0.3406	0.4184	0.8413	0.8413	001.Plastic_bag/images/train/2ea40f1eb4b47510.jpg
123	2	5	0.000	0.3531	0.0000	0.9994	0.8992	001.Plastic_bag/images/train/a057afaab010815f.jpg
124	2	5	0.000	0.5887	0.2185	0.9313	0.6987	001.Plastic_bag/images/train/c043ea3b7c47f8b3.jpg
125	2	5	0.000	0.4156	0.3533	0.5044	0.4858	001.Plastic_bag/images/train/32eedcc25c63f627.jpg
126	2	5	0.000	0.3694	0.8769	0.4243	0.9583	001.Plastic_bag/images/train/71174b0591896181.jpg
127	2	5	0.000	0.5550	0.3225	0.9994	0.7550	001.Plastic_bag/images/train/f724328984e45d9f.jpg
128	2	5	0.000	0.8856	0.2186	0.9994	0.6069	001.Plastic_bag/images/train/539ef59a91b2df98.jpg
129	2	5	0.000	0.3356	0.0778	0.9994	0.9989	001.Plastic_bag/images/train/0b9a64abf7758be8.jpg
130	2	5	0.000	0.4767	0.0667	0.8867	0.6622	001.Plastic_bag/images/train/0666abda3fa433ba.jpg
131	2	5	0.000	0.7125	0.3467	0.9256	0.5775	001.Plastic_bag/images/train/7393fb4299dd9e83.jpg
132	2	5	0.000	0.4888	0.1467	0.9994	0.9900	001.Plastic_bag/images/train/dd467d8a2d7e1d89.jpg
133	2	5	0.000	0.7150	0.6381	0.9990	0.8175	001.Plastic_bag/images/train/e382f60003689872.jpg
134	2	5	0.000	0.0844	0.2292	0.3344	0.4800	001.Plastic_bag/images/train/03b3f942b2c2b0e8.jpg
135	2	5	0.000	0.0000	0.0880	0.0373	0.1160	001.Plastic_bag/images/train/ecb16eefdc523ea0.jpg
136	2	5	0.000	0.1138	0.5795	0.3256	0.9892	001.Plastic_bag/images/train/0ddad0dfddfbe0d6.jpg
137	2	5	0.000	0.0569	0.4894	0.3169	0.7887	001.Plastic_bag/images/train/221dd6f9138951a7.jpg
138	2	5	0.000	0.5325	0.4535	0.6338	0.7559	001.Plastic_bag/images/train/defa6a56ea4e4d4f.jpg
139	2	5	0.000	0.0000	0.2542	0.2506	0.9850	001.Plastic_bag/images/train/01a0b15510b9157c.jpg
140	2	5	0.000	0.7333	0.4799	0.8922	0.6119	001.Plastic_bag/images/train/2747c5caf0332df9.jpg
141	2	5	0.000	0.3975	0.0197	0.6075	0.3921	001.Plastic_bag/images/train/0742f36f08a35ffd.jpg
142	2	5	0.000	0.7700	0.8300	0.8740	0.9825	001.Plastic_bag/images/train/2a96abf3c061a5c6.jpg
143	2	5	0.000	0.4800	0.5994	0.9838	0.9991	001.Plastic_bag/images/train/c217716dda83b4d9.jpg
144	2	5	0.000	0.5569	0.1341	0.9475	0.9071	001.Plastic_bag/images/train/328d94d2d729b5cc.jpg
145	2	5	0.000	0.0612	0.1704	0.8438	0.9270	001.Plastic_bag/images/train/087cb4774ad3a321.jpg
146	2	5	0.000	0.5419	0.6011	0.7325	0.8636	001.Plastic_bag/images/train/4de3d1f41968bd96.jpg
147	2	5	0.000	0.0369	0.4909	0.3262	0.6684	001.Plastic_bag/images/train/bd8be459d67dfbed.jpg
148	2	5	0.000	0.3875	0.6758	0.6500	0.9992	001.Plastic_bag/images/train/079cab48c40308b5.jpg
149	2	5	0.000	0.2481	0.0000	0.5426	0.3750	001.Plastic_bag/images/train/733208e48d053da8.jpg
150	2	5	0.000	0.0013	0.6050	0.5720	1.0000	001.Plastic_bag/images/train/0ac1bb20bf06bfbc.jpg
151	2	5	0.000	0.0000	0.4425	0.2750	0.5892	001.Plastic_bag/images/train/00a76046606aa888.jpg
152	2	5	0.000	0.2095	0.4875	0.5420	0.8342	001.Plastic_bag/images/train/bcbe8abf75fdf81d.jpg
153	2	5	0.000	0.8331	0.2775	1.0000	0.9667	001.Plastic_bag/images/train/0f438192f88bbbb5.jpg
154	2	5	0.000	0.1281	0.4079	0.2650	0.7158	001.Plastic_bag/images/train/e7e78075a412ac48.jpg
155	2	5	0.000	0.6763	0.5358	0.8363	0.8717	001.Plastic_bag/images/train/8ccc73fd3d04a899.jpg
156	2	5	0.000	0.0612	0.0333	0.7331	0.9992	001.Plastic_bag/images/train/0b8e700b7845d68e.jpg
157	2	5	0.000	0.0222	0.6400	0.3281	0.9437	001.Plastic_bag/images/train/aa3e7da1de053072.jpg
158	2	5	0.000	0.0092	0.0006	0.9992	0.8806	001.Plastic_bag/images/train/079ed1f3fa86d7c9.jpg
159	2	5	0.000	0.3625	0.6331	0.7317	0.8475	001.Plastic_bag/images/train/0bb0ba4b5120106f.jpg
160	2	5	0.000	0.5894	0.6860	0.6050	0.7138	001.Plastic_bag/images/train/002c60d5fbc94244.jpg
161	2	5	0.000	0.3837	0.0000	0.9081	0.5764	001.Plastic_bag/images/train/8dabcd62a256b47f.jpg
162	2	5	0.000	0.7531	0.5247	0.8206	0.8805	001.Plastic_bag/images/train/8e52275c8e62c06e.jpg
163	2	5	0.000	0.6354	0.3998	0.8824	0.6659	001.Plastic_bag/images/train/0224e7521bba044c.jpg
164	2	5	0.000	0.4637	0.5700	0.5669	0.6600	001.Plastic_bag/images/train/d08d97d4b69bc3d6.jpg
165	2	5	0.000	0.6392	0.1837	0.8908	0.5400	001.Plastic_bag/images/train/d23dbce3e186b9f2.jpg
166	2	5	0.000	0.0000	0.0344	0.9991	0.9606	001.Plastic_bag/images/train/18e14641547f7e6d.jpg
167	2	5	0.000	0.2257	0.0366	0.8443	0.9935	001.Plastic_bag/images/train/0889eb8501b7adce.jpg
168	2	5	0.000	0.0000	0.0000	0.9994	0.9994	001.Plastic_bag/images/train/bc90fcfa4c8c64ed.jpg
169	2	5	0.000	0.2718	0.4374	0.6141	0.9982	001.Plastic_bag/images/train/15230047d350afdc.jpg
170	2	5	0.000	0.3844	0.6758	0.5769	0.9183	001.Plastic_bag/images/train/10cc3815b95ae1bb.jpg
171	2	5	0.000	0.2456	0.0900	0.9994	0.9992	001.Plastic_bag/images/train/5db995f290a70786.jpg
172	2	5	0.000	0.8517	0.7356	0.9992	0.9750	001.Plastic_bag/images/train/60516e61f76f6ebf.jpg
173	2	5	0.000	0.6281	0.4015	0.7575	0.5807	001.Plastic_bag/images/train/0742f36f08a35ffd.jpg
174	2	5	0.000	0.0000	0.0000	0.9993	0.9992	001.Plastic_bag/images/train/fb33f643ff2d3713.jpg
175	2	5	0.000	0.6403	0.3444	0.8764	0.7398	001.Plastic_bag/images/train/71174b0591896181.jpg
176	2	5	0.000	0.1736	0.3064	0.4283	0.6899	001.Plastic_bag/images/train/0e1d80d6a5571846.jpg
177	2	5	0.000	0.4012	0.3825	0.6162	0.8411	001.Plastic_bag/images/train/00dabf1d5d5863ba.jpg
178	2	5	0.000	0.0000	0.1256	0.9991	0.6312	001.Plastic_bag/images/train/85400f7a32af265d.jpg
179	2	5	0.000	0.0344	0.0377	0.5138	0.9305	001.Plastic_bag/images/train/05828d3219564b30.jpg
180	2	5	0.000	0.3656	0.4033	0.9606	1.0000	001.Plastic_bag/images/train/802a23311eb73436.jpg
181	2	5	0.000	0.2919	0.5858	0.3269	0.6433	001.Plastic_bag/images/train/01381a0300454d75.jpg
182	2	5	0.000	0.0985	0.4694	0.3649	0.6044	001.Plastic_bag/images/train/4846604314a27dea.jpg
183	2	5	0.000	0.6360	0.2427	0.7040	0.3093	001.Plastic_bag/images/train/51bae1d112045cfe.jpg
184	2	5	0.000	0.2856	0.4823	0.3738	0.6225	001.Plastic_bag/images/train/bd8be459d67dfbed.jpg
185	2	5	0.000	0.2806	0.5319	0.7119	0.9606	001.Plastic_bag/images/train/d01921dfb646f0eb.jpg
186	2	5	0.000	0.1850	0.0700	1.0000	0.9822	001.Plastic_bag/images/train/0088db0070781736.jpg
187	2	5	0.000	0.0413	0.2900	0.2531	0.9992	001.Plastic_bag/images/train/5262b0d4208261d5.jpg
188	2	5	0.000	0.9287	0.6580	0.9994	0.8407	001.Plastic_bag/images/train/bd8be459d67dfbed.jpg
189	2	5	0.000	0.1462	0.6713	0.3438	0.9029	001.Plastic_bag/images/train/9f0383b543406db7.jpg
190	2	5	0.000	0.0037	0.3292	0.7494	0.9992	001.Plastic_bag/images/train/9ed3301646572417.jpg
191	2	5	0.000	0.4111	0.0729	0.9972	0.7229	001.Plastic_bag/images/train/eb0cdbfe597b575e.jpg
192	2	5	0.000	0.5120	0.6304	0.9990	0.9984	001.Plastic_bag/images/train/3576f29874ba3702.jpg
193	2	5	0.000	0.2925	0.2974	0.5494	0.9606	001.Plastic_bag/images/train/011d3ecef79d91ad.jpg
194	2	5	0.000	0.2304	0.1640	0.6900	0.9260	001.Plastic_bag/images/train/a050bb81fcc55005.jpg
195	2	5	0.000	0.1253	0.3460	0.5467	0.5340	001.Plastic_bag/images/train/ecb16eefdc523ea0.jpg
196	2	5	0.000	0.2625	0.0000	0.8006	0.9325	001.Plastic_bag/images/train/e8dbe98fb7c4cd3e.jpg
197	2	5	0.000	0.6763	0.0000	0.9775	0.2336	001.Plastic_bag/images/train/95e02d0e196e44ea.jpg
198	2	5	0.000	0.0866	0.1863	0.9330	0.9984	001.Plastic_bag/images/train/211bcd6cfb7e0df9.jpg
199	2	5	0.000	0.0000	0.0583	0.8594	0.9958	001.Plastic_bag/images/train/71da9d5c14e72524.jpg
200	2	5	0.000	0.5577	0.6094	0.6825	0.6913	001.Plastic_bag/images/train/9b5f296f02da2dcf.jpg
201	2	5	0.000	0.1106	0.6483	0.2294	0.7600	001.Plastic_bag/images/train/614a6b3531b9f0dc.jpg
202	2	5	0.000	0.0537	0.0000	0.9994	0.8358	001.Plastic_bag/images/train/65b868286cc0472b.jpg
203	2	5	0.000	0.0619	0.2117	0.8250	0.6950	001.Plastic_bag/images/train/529ef50fd660ca75.jpg
204	2	5	0.000	0.4294	0.7656	0.5212	0.9318	001.Plastic_bag/images/train/00782bbf3bcee6cd.jpg
205	2	5	0.000	0.3212	0.6150	0.3775	0.7292	001.Plastic_bag/images/train/a362885191c900fc.jpg
206	2	5	0.000	0.1050	0.0781	0.3258	0.2487	001.Plastic_bag/images/train/60516e61f76f6ebf.jpg
207	2	5	0.000	0.4662	0.4278	0.6713	0.8093	001.Plastic_bag/images/train/e7e78075a412ac48.jpg
208	2	5	0.000	0.5333	0.4562	0.7083	0.6750	001.Plastic_bag/images/train/a8b17d203d9eea1a.jpg
209	2	5	0.000	0.0000	0.0213	0.8150	0.9994	001.Plastic_bag/images/train/415402c6c2137903.jpg
210	2	5	0.000	0.8150	0.5217	0.8744	0.7092	001.Plastic_bag/images/train/02c05018da2870de.jpg
211	2	5	0.000	0.7194	0.3808	0.8850	0.5142	001.Plastic_bag/images/train/01381a0300454d75.jpg
212	2	5	0.000	0.0000	0.0000	0.2629	0.9994	001.Plastic_bag/images/train/55573a7d90617be5.jpg
213	2	5	0.000	0.2125	0.6362	0.4008	0.7969	001.Plastic_bag/images/train/218a755217405b04.jpg
214	2	5	0.000	0.1875	0.6250	0.3325	0.8833	001.Plastic_bag/images/train/2642e4e681cec55b.jpg
215	2	5	0.000	0.8387	0.0000	0.9994	0.9875	001.Plastic_bag/images/train/3ff4ab51accbfe88.jpg
216	2	5	0.000	0.8886	0.4220	0.9714	0.4600	001.Plastic_bag/images/train/3b63a6eb8c7e6913.jpg
217	2	5	0.000	0.2833	0.7375	0.5783	0.9988	001.Plastic_bag/images/train/a8b17d203d9eea1a.jpg
218	2	5	0.000	0.2556	0.0967	0.5381	0.5892	001.Plastic_bag/images/train/24107f46fce599fa.jpg
219	2	5	0.000	0.0258	0.0021	0.9984	0.8240	001.Plastic_bag/images/train/003bfa647c199309.jpg
220	2	5	0.000	0.0419	0.0025	0.9981	0.9975	001.Plastic_bag/images/train/0e0aa4980de127ba.jpg
221	2	5	0.000	0.0539	0.1019	0.9179	0.9950	001.Plastic_bag/images/train/41aeaf0e23f9ec62.jpg
222	2	5	0.000	0.6288	0.6000	0.7600	0.7808	001.Plastic_bag/images/train/6ca5084d74bd38f7.jpg
223	2	5	0.000	0.7063	0.0725	0.8144	0.1692	001.Plastic_bag/images/train/b5c748c03f11ec44.jpg
224	2	5	0.000	0.0575	0.1292	0.5394	0.9683	001.Plastic_bag/images/train/13006173cef6cc5e.jpg
225	2	5	0.000	0.7350	0.7542	0.8400	0.9625	001.Plastic_bag/images/train/d08d97d4b69bc3d6.jpg
226	2	5	0.000	0.0144	0.4145	0.6125	0.9991	001.Plastic_bag/images/train/c469e45b88848183.jpg
227	2	5	0.000	0.2825	0.2644	0.6808	0.7512	001.Plastic_bag/images/train/c25c0f5a3592cd4f.jpg
228	2	5	0.000	0.4556	0.5342	0.9256	0.8358	001.Plastic_bag/images/train/62165a868a651a00.jpg
229	2	5	0.000	0.0234	0.1703	0.5719	0.7266	001.Plastic_bag/images/train/7d0b4e0b4820df1f.jpg
230	2	5	0.000	0.0000	0.5544	0.9258	0.7850	001.Plastic_bag/images/train/85400f7a32af265d.jpg
231	2	5	0.000	0.4739	0.2406	0.7140	0.3600	001.Plastic_bag/images/train/0c0c16709c4fb7a9.jpg
232	2	5	0.000	0.4544	0.0567	0.8919	0.5700	001.Plastic_bag/images/train/9595b0b23c22e509.jpg
233	2	5	0.000	0.4056	0.4142	0.8514	0.7475	001.Plastic_bag/images/train/bcbe8abf75fdf81d.jpg
